yourlist:M20200414DA437993067D6F64326E5E763500BDED121471F	isomap:M20200414DA437993067D6F64326E5E763500BDED121471F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSP00000378254	ENSP00000378254 -> Q32P44-1	Q32P44	EMAL3_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 3 (EMAP-3)	EML3	Homo sapiens (Human)	896
ENSP00000320663	ENSP00000320663 -> Q9HC35-1	Q9HC35	EMAL4_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	EML4 C2orf2 EMAPL4	Homo sapiens (Human)	981
ENSP00000370039	ENSP00000370039 -> Q05BV3-1	Q05BV3	EMAL5_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 5 (EMAP-5)	EML5	Homo sapiens (Human)	1969
ENSP00000253673	ENSP00000253673 -> Q9BY15-1	Q9BY15	AGRE3_HUMAN	reviewed	Adhesion G protein-coupled receptor E3 (EGF-like module receptor 3) (EGF-like module-containing mucin-like hormone receptor-like 3)	ADGRE3 EMR3 UNQ683/PRO1562	Homo sapiens (Human)	652
ENSP00000297375		P19622	HME2_HUMAN	reviewed	Homeobox protein engrailed-2 (Homeobox protein en-2) (Hu-En-2)	EN2	Homo sapiens (Human)	333
ENSP00000355809	ENSP00000355809 -> Q8N8S7-1	Q8N8S7	ENAH_HUMAN	reviewed	Protein enabled homolog	ENAH MENA	Homo sapiens (Human)	591
ENSP00000379383		Q9NRM1	ENAM_HUMAN	reviewed	Enamelin	ENAM	Homo sapiens (Human)	1142
ENSP00000306356	ENSP00000306356 -> O14682-1	O14682	ENC1_HUMAN	reviewed	Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein)	ENC1 KLHL37 NRPB PIG10	Homo sapiens (Human)	589
ENSP00000278505		O94919	ENDD1_HUMAN	reviewed	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	ENDOD1 KIAA0830	Homo sapiens (Human)	500
ENSP00000362299	ENSP00000362299 -> P17813-1	P17813	EGLN_HUMAN	reviewed	Endoglin (CD antigen CD105)	ENG END	Homo sapiens (Human)	658
ENSP00000234590	ENSP00000234590 -> P06733-1	P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
ENSP00000229277	ENSP00000229277 -> P09104-1	P09104	ENOG_HUMAN	reviewed	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	ENO2	Homo sapiens (Human)	434
ENSP00000324105	ENSP00000324105 -> P13929-1	P13929	ENOB_HUMAN	reviewed	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase)	ENO3	Homo sapiens (Human)	434
ENSP00000261488	ENSP00000261488 -> Q8TC92-1	Q8TC92	ENOX1_HUMAN	reviewed	Ecto-NOX disulfide-thiol exchanger 1 (Candidate growth-related and time keeping constitutive hydroquinone [NADH] oxidase) (cCNOX) (Cell proliferation-inducing gene 38 protein) (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	ENOX1 PIG38	Homo sapiens (Human)	643
ENSP00000265162		Q07075	AMPE_HUMAN	reviewed	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)	ENPEP	Homo sapiens (Human)	957
ENSP00000259486	ENSP00000259486 -> Q13822-2	Q13822	ENPP2_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	ENPP2 ATX PDNP2	Homo sapiens (Human)	863
ENSP00000350265		O14638	ENPP3_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	ENPP3 PDNP3	Homo sapiens (Human)	875
ENSP00000341743	ENSP00000341743 -> O43768-3	O43768	ENSA_HUMAN	reviewed	Alpha-endosulfine (ARPP-19e)	ENSA	Homo sapiens (Human)	121
ENSP00000006526	ENSP00000006526 -> Q9H977-1	Q9H977	WDR54_HUMAN	reviewed	WD repeat-containing protein 54	WDR54	Homo sapiens (Human)	334
ENSP00000016946	ENSP00000016946 -> Q99666-1	Q99666	RGPD5_HUMAN	reviewed	RANBP2-like and GRIP domain-containing protein 5/6 (Ran-binding protein 2-like 1/2) (RanBP2-like 1/2) (RanBP2L1) (RanBP2L2) (Sperm membrane protein BS-63)	RGPD5 RANBP2L1 RGP5 RGP7 RGPD7; RGPD6 RANBP2L2 RGP6	Homo sapiens (Human)	1765
ENSP00000040738		Q8NFC6	BD1L1_HUMAN	reviewed	Biorientation of chromosomes in cell division protein 1-like 1	BOD1L1 BOD1L FAM44A KIAA1327	Homo sapiens (Human)	3051
ENSP00000161863		Q9H6S0	YTDC2_HUMAN	reviewed	3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2) (hYTHDC2)	YTHDC2	Homo sapiens (Human)	1430
ENSP00000169551		Q9BVV7	TIM21_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim21 (TIM21-like protein, mitochondrial)	TIMM21 C18orf55 TIM21 HSPC154	Homo sapiens (Human)	248
ENSP00000192788		Q6BDS2	URFB1_HUMAN	reviewed	UHRF1-binding protein 1 (ICBP90-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1)	UHRF1BP1 C6orf107	Homo sapiens (Human)	1440
ENSP00000416015	ENSP00000416015 -> Q7RTP6-1	Q7RTP6	MICA3_HUMAN	reviewed	[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3)	MICAL3 KIAA0819 KIAA1364	Homo sapiens (Human)	2002
ENSP00000215582		Q8IVT2	MISP_HUMAN	reviewed	Mitotic interactor and substrate of PLK1 (Mitotic spindle positioning protein)	MISP C19orf21	Homo sapiens (Human)	679
ENSP00000380033		A0A5H1ZRQ2	A0A5H1ZRQ2_HUMAN	unreviewed	Probable ATP-dependent RNA helicase DDX17	DDX17	Homo sapiens (Human)	731
ENSP00000216468		Q6PL24	TMED8_HUMAN	reviewed	Protein TMED8	TMED8 FAM15B L10	Homo sapiens (Human)	325
ENSP00000379217		O14562	UBFD1_HUMAN	reviewed	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	UBFD1 UBPH	Homo sapiens (Human)	309
ENSP00000219689	ENSP00000219689 -> Q70CQ4-1	Q70CQ4	UBP31_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 31 (EC 3.4.19.12) (Deubiquitinating enzyme 31) (Ubiquitin thioesterase 31) (Ubiquitin-specific-processing protease 31)	USP31 KIAA1203	Homo sapiens (Human)	1352
ENSP00000222224		Q96BZ8	LENG1_HUMAN	reviewed	Leukocyte receptor cluster member 1	LENG1	Homo sapiens (Human)	264
ENSP00000351939	ENSP00000351939 -> Q6ZN55-1	Q6ZN55	ZN574_HUMAN	reviewed	Zinc finger protein 574	ZNF574	Homo sapiens (Human)	896
ENSP00000269095		D3DX48	D3DX48_HUMAN	unreviewed	MAGUK p55 subfamily member 2 (Membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2), isoform CRA_b)	MPP2 hCG_30288	Homo sapiens (Human)	552
ENSP00000227520	ENSP00000227520 -> Q9H6F5-1	Q9H6F5	CCD86_HUMAN	reviewed	Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain)	CCDC86 CYCLON	Homo sapiens (Human)	360
ENSP00000417963	ENSP00000417963 -> Q14738-1	Q14738	2A5D_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)	PPP2R5D	Homo sapiens (Human)	602
ENSP00000230895		P51397	DAP1_HUMAN	reviewed	Death-associated protein 1 (DAP-1)	DAP DAP1	Homo sapiens (Human)	102
ENSP00000418447	ENSP00000418447 -> P67775-1	P67775	PP2AA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	PPP2CA	Homo sapiens (Human)	309
ENSP00000233099	ENSP00000233099 -> Q9P2D3-1	Q9P2D3	HTR5B_HUMAN	reviewed	HEAT repeat-containing protein 5B	HEATR5B KIAA1414	Homo sapiens (Human)	2071
ENSP00000420176		Q9NR33	DPOE4_HUMAN	reviewed	DNA polymerase epsilon subunit 4 (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12)	POLE4	Homo sapiens (Human)	117
ENSP00000236980	ENSP00000236980 -> Q9NYY8-1	Q9NYY8	FAKD2_HUMAN	reviewed	FAST kinase domain-containing protein 2, mitochondrial	FASTKD2 KIAA0971	Homo sapiens (Human)	710
ENSP00000417764	ENSP00000417764 -> Q9H553-1	Q9H553	ALG2_HUMAN	reviewed	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2 UNQ666/PRO1298	Homo sapiens (Human)	416
ENSP00000238789		Q9ULI0	ATD2B_HUMAN	reviewed	ATPase family AAA domain-containing protein 2B	ATAD2B KIAA1240	Homo sapiens (Human)	1458
ENSP00000239830	ENSP00000239830 -> Q9BR77-1	Q9BR77	CCD77_HUMAN	reviewed	Coiled-coil domain-containing protein 77	CCDC77	Homo sapiens (Human)	488
ENSP00000240364	ENSP00000240364 -> Q9C073-1	Q9C073	F117A_HUMAN	reviewed	Protein FAM117A (C/EBP-induced protein)	FAM117A	Homo sapiens (Human)	453
ENSP00000282007	ENSP00000282007 -> Q5T200-2	Q5T200	ZC3HD_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 13	ZC3H13 KIAA0853	Homo sapiens (Human)	1668
ENSP00000420127		P51151	RAB9A_HUMAN	reviewed	Ras-related protein Rab-9A	RAB9A RAB9	Homo sapiens (Human)	201
ENSP00000245564	ENSP00000245564 -> Q9BUK6-1	Q9BUK6	MSTO1_HUMAN	reviewed	Protein misato homolog 1	MSTO1 LST005 SLTP005	Homo sapiens (Human)	570
ENSP00000246024		Q9H1E5	TMX4_HUMAN	reviewed	Thioredoxin-related transmembrane protein 4 (Thioredoxin domain-containing protein 13)	TMX4 KIAA1162 TXNDC13 PSEC0095 UNQ475/PRO938	Homo sapiens (Human)	349
ENSP00000247178	ENSP00000247178 -> Q6ZNE5-1	Q6ZNE5	BAKOR_HUMAN	reviewed	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)	ATG14 ATG14L KIAA0831	Homo sapiens (Human)	492
ENSP00000381102	ENSP00000381102 -> Q86T03-2	Q86T03	PP4P1_HUMAN	reviewed	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)	PIP4P1 C14orf9 TMEM55B	Homo sapiens (Human)	277
ENSP00000251143		E7EWW0	E7EWW0_HUMAN	unreviewed	VPS35 endosomal protein sorting factor-like	VPS35L	Homo sapiens (Human)	1052
ENSP00000251250	ENSP00000251250 -> Q8N5C7-1	Q8N5C7	DTWD1_HUMAN	reviewed	DTW domain-containing protein 1	DTWD1 MDS009	Homo sapiens (Human)	304
ENSP00000251343		O15037	KHNYN_HUMAN	reviewed	Protein KHNYN (KH and NYN domain-containing protein)	KHNYN KIAA0323	Homo sapiens (Human)	678
ENSP00000418748	ENSP00000418748 -> Q9H6T0-2	Q9H6T0	ESRP2_HUMAN	reviewed	Epithelial splicing regulatory protein 2 (RNA-binding motif protein 35B) (RNA-binding protein 35B)	ESRP2 RBM35B PP7059	Homo sapiens (Human)	727
ENSP00000251691		Q5TH69	BIG3_HUMAN	reviewed	Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (ARFGEF family member 3)	ARFGEF3 BIG3 C6orf92 KIAA1244	Homo sapiens (Human)	2177
ENSP00000253048		Q9UPT8	ZC3H4_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 4	ZC3H4 C19orf7 KIAA1064	Homo sapiens (Human)	1303
ENSP00000253669	ENSP00000253669 -> Q9BT25-1	Q9BT25	HAUS8_HUMAN	reviewed	HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48)	HAUS8 HICE1	Homo sapiens (Human)	410
ENSP00000254337		Q66K64	DCA15_HUMAN	reviewed	DDB1- and CUL4-associated factor 15	DCAF15 C19orf72	Homo sapiens (Human)	600
ENSP00000254624	ENSP00000254624 -> Q14156-1	Q14156	EFR3A_HUMAN	reviewed	Protein EFR3 homolog A (Protein EFR3-like)	EFR3A KIAA0143	Homo sapiens (Human)	821
ENSP00000254695	ENSP00000254695 -> Q684P5-1	Q684P5	RPGP2_HUMAN	reviewed	Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4)	RAP1GAP2 GARNL4 KIAA1039 RAP1GA2	Homo sapiens (Human)	730
ENSP00000256362		Q9H8Y1	VRTN_HUMAN	reviewed	Vertnin	VRTN C14orf115	Homo sapiens (Human)	702
ENSP00000256544		Q9H079	KTBL1_HUMAN	reviewed	KATNB1-like protein 1 (Katanin p80 subunit B-like 1)	KATNBL1 C15orf29	Homo sapiens (Human)	304
ENSP00000258214		Q96A19	C102A_HUMAN	reviewed	Coiled-coil domain-containing protein 102A	CCDC102A	Homo sapiens (Human)	550
ENSP00000258704		Q8NFV5	SPDE1_HUMAN	reviewed	Speedy protein E1 (Williams-Beuren syndrome chromosomal region 19 protein)	SPDYE1 WBSCR19	Homo sapiens (Human)	336
ENSP00000260054		J3KN19	J3KN19_HUMAN	unreviewed	Coiled-coil domain-containing protein 90B, mitochondrial	CCDC90B MDS025 hCG_27349	Homo sapiens (Human)	162
ENSP00000417654		Q9BS91	S35A5_HUMAN	reviewed	Probable UDP-sugar transporter protein SLC35A5 (Solute carrier family 35 member A5)	SLC35A5 UNQ164/PRO190	Homo sapiens (Human)	424
ENSP00000261560		Q9H8G1	ZN430_HUMAN	reviewed	Zinc finger protein 430	ZNF430	Homo sapiens (Human)	570
ENSP00000261588		O60303	K0556_HUMAN	reviewed	Protein KIAA0556	KIAA0556	Homo sapiens (Human)	1618
ENSP00000382091	ENSP00000382091 -> Q6P6C2-2	Q6P6C2	ALKB5_HUMAN	reviewed	RNA demethylase ALKBH5 (EC 1.14.11.53) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5)	ALKBH5 ABH5 OFOXD1	Homo sapiens (Human)	394
ENSP00000262293		Q96HE9	PRR11_HUMAN	reviewed	Proline-rich protein 11	PRR11	Homo sapiens (Human)	360
ENSP00000365012		J3KPD6	J3KPD6_HUMAN	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	HCK	Homo sapiens (Human)	526
ENSP00000262894		Q9UK10	ZN225_HUMAN	reviewed	Zinc finger protein 225	ZNF225	Homo sapiens (Human)	706
ENSP00000262961	ENSP00000262961 -> Q9UPR6-1	Q9UPR6	ZFR2_HUMAN	reviewed	Zinc finger RNA-binding protein 2	ZFR2 KIAA1086	Homo sapiens (Human)	939
ENSP00000263092	ENSP00000263092 -> Q86W50-1	Q86W50	MET16_HUMAN	reviewed	RNA N6-adenosine-methyltransferase METTL16 (Methyltransferase 10 domain-containing protein) (Methyltransferase-like protein 16) (N6-adenosine-methyltransferase METTL16) (EC 2.1.1.348) (U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase) (EC 2.1.1.346)	METTL16 METT10D	Homo sapiens (Human)	562
ENSP00000263150	ENSP00000263150 -> Q9Y2I8-1	Q9Y2I8	WDR37_HUMAN	reviewed	WD repeat-containing protein 37	WDR37 KIAA0982	Homo sapiens (Human)	494
ENSP00000419975	ENSP00000419975 -> Q8IYB4-1	Q8IYB4	PEX5R_HUMAN	reviewed	PEX5-related protein (PEX2-related protein) (PEX5-like protein) (Peroxin-5-related protein) (Peroxisome biogenesis factor 5-like) (Tetratricopeptide repeat-containing Rab8b-interacting protein) (Pex5Rp) (TRIP8b)	PEX5L PEX5R PXR2	Homo sapiens (Human)	626
ENSP00000263997		Q96CW6	S7A6O_HUMAN	reviewed	Probable RNA polymerase II nuclear localization protein SLC7A6OS (ADAMS proteinase-related protein) (Solute carrier family 7 member 6 opposite strand transcript)	SLC7A6OS	Homo sapiens (Human)	309
ENSP00000264866	ENSP00000264866 -> Q8N5T2-1	Q8N5T2	TBC19_HUMAN	reviewed	TBC1 domain family member 19	TBC1D19	Homo sapiens (Human)	526
ENSP00000369162		Q9BRS2	RIOK1_HUMAN	reviewed	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	RIOK1 RIO1	Homo sapiens (Human)	568
ENSP00000265107		Q9NW82	WDR70_HUMAN	reviewed	WD repeat-containing protein 70	WDR70	Homo sapiens (Human)	654
ENSP00000265140	ENSP00000265140 -> Q9BQI6-1	Q9BQI6	SLF1_HUMAN	reviewed	SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)	SLF1 ANKRD32 BRCTD1	Homo sapiens (Human)	1058
ENSP00000365735	ENSP00000365735 -> Q04727-1	Q04727	TLE4_HUMAN	reviewed	Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4)	TLE4 GRG4 KIAA1261	Homo sapiens (Human)	773
ENSP00000265299		Q4G0A6	MINY4_HUMAN	reviewed	Probable ubiquitin carboxyl-terminal hydrolase MINDY-4 (EC 3.4.19.12) (Probable deubiquitinating enzyme MINDY-4)	MINDY4 C7orf67 FAM188B	Homo sapiens (Human)	757
ENSP00000417175	ENSP00000417175 -> O95292-1	O95292	VAPB_HUMAN	reviewed	Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C)	VAPB UNQ484/PRO983	Homo sapiens (Human)	243
ENSP00000265742		Q9P2G1	AKIB1_HUMAN	reviewed	Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31)	ANKIB1 KIAA1386	Homo sapiens (Human)	1089
ENSP00000266754		Q86XJ1	GA2L3_HUMAN	reviewed	GAS2-like protein 3 (Growth arrest-specific protein 2-like 3)	GAS2L3	Homo sapiens (Human)	694
ENSP00000267594	ENSP00000267594 -> Q8N9Y4-1	Q8N9Y4	F181A_HUMAN	reviewed	Protein FAM181A	FAM181A C14orf152 HSD-31 HSD31	Homo sapiens (Human)	354
ENSP00000267838	ENSP00000267838 -> Q8IV50-1	Q8IV50	LYSM2_HUMAN	reviewed	LysM and putative peptidoglycan-binding domain-containing protein 2	LYSMD2	Homo sapiens (Human)	215
ENSP00000417864		P39687	AN32A_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	ANP32A C15orf1 LANP MAPM PHAP1	Homo sapiens (Human)	249
ENSP00000268138	ENSP00000268138 -> Q7Z2Z1-1	Q7Z2Z1	TICRR_HUMAN	reviewed	Treslin (TopBP1-interacting checkpoint and replication regulator) (TopBP1-interacting, replication-stimulating protein)	TICRR C15orf42	Homo sapiens (Human)	1910
ENSP00000299952	ENSP00000299952 -> Q96A59-2	Q96A59	MALD3_HUMAN	reviewed	MARVEL domain-containing protein 3	MARVELD3 MRVLDC3	Homo sapiens (Human)	401
ENSP00000269221		Q96DM3	RMC1_HUMAN	reviewed	Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1) (WD repeat-containing protein 98)	RMC1 C18orf8 MIC1 WDR98	Homo sapiens (Human)	657
ENSP00000269967		Q96F63	CCD97_HUMAN	reviewed	Coiled-coil domain-containing protein 97	CCDC97	Homo sapiens (Human)	343
ENSP00000270066	ENSP00000270066 -> Q9H0W8-1	Q9H0W8	SMG9_HUMAN	reviewed	Protein SMG9 (Protein SMG-9)	SMG9 C19orf61	Homo sapiens (Human)	520
ENSP00000270530	ENSP00000270530 -> Q96CN4-1	Q96CN4	EVI5L_HUMAN	reviewed	EVI5-like protein (Ecotropic viral integration site 5-like protein)	EVI5L	Homo sapiens (Human)	794
ENSP00000270583	ENSP00000270583 -> Q8TBB5-1	Q8TBB5	KLDC4_HUMAN	reviewed	Kelch domain-containing protein 4	KLHDC4	Homo sapiens (Human)	520
ENSP00000418901	ENSP00000418901 -> Q8NB59-1	Q8NB59	SYT14_HUMAN	reviewed	Synaptotagmin-14 (Synaptotagmin XIV) (SytXIV)	SYT14	Homo sapiens (Human)	555
ENSP00000272907	ENSP00000272907 -> Q9P242-1	Q9P242	NYAP2_HUMAN	reviewed	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2	NYAP2 KIAA1486	Homo sapiens (Human)	653
ENSP00000274054	ENSP00000274054 -> Q96HR8-1	Q96HR8	NAF1_HUMAN	reviewed	H/ACA ribonucleoprotein complex non-core subunit NAF1 (hNAF1)	NAF1	Homo sapiens (Human)	494
ENSP00000274712		Q96NC0	ZMAT2_HUMAN	reviewed	Zinc finger matrin-type protein 2	ZMAT2	Homo sapiens (Human)	199
ENSP00000274787		Q9BW72	HIG2A_HUMAN	reviewed	HIG1 domain family member 2A, mitochondrial (RCF1 homolog B) (RCF1b)	HIGD2A	Homo sapiens (Human)	106
ENSP00000275532		A0A1X7SBW1	A0A1X7SBW1_HUMAN	unreviewed	BTB/POZ domain-containing protein KCTD7	KCTD7	Homo sapiens (Human)	258
ENSP00000275766	ENSP00000275766 -> Q96H79-1	Q96H79	ZCCHL_HUMAN	reviewed	Zinc finger CCCH-type antiviral protein 1-like	ZC3HAV1L C7orf39	Homo sapiens (Human)	300
ENSP00000276077		Q9BXC1	GP174_HUMAN	reviewed	Probable G-protein coupled receptor 174	GPR174 FKSG79 GPCR17	Homo sapiens (Human)	333
ENSP00000278422	ENSP00000278422 -> Q9Y320-1	Q9Y320	TMX2_HUMAN	reviewed	Thioredoxin-related transmembrane protein 2 (Cell proliferation-inducing gene 26 protein) (Thioredoxin domain-containing protein 14)	TMX2 TXNDC14 CGI-31 My009 PIG26 PSEC0045 UNQ237/PRO270	Homo sapiens (Human)	296
ENSP00000278520	ENSP00000278520 -> Q8N4S0-1	Q8N4S0	CCD82_HUMAN	reviewed	Coiled-coil domain-containing protein 82	CCDC82 HT025	Homo sapiens (Human)	544
ENSP00000278601		Q96A22	CK052_HUMAN	reviewed	Uncharacterized protein C11orf52	C11orf52	Homo sapiens (Human)	123
ENSP00000278856	ENSP00000278856 -> Q6RFH5-1	Q6RFH5	WDR74_HUMAN	reviewed	WD repeat-containing protein 74 (NOP seven-associated protein 1)	WDR74 NSA1	Homo sapiens (Human)	385
ENSP00000280749		J3KN91	J3KN91_HUMAN	unreviewed	Uncharacterized protein C12orf45	C12orf45	Homo sapiens (Human)	67
ENSP00000281129	ENSP00000281129 -> Q6ZU80-2	Q6ZU80	CE128_HUMAN	reviewed	Centrosomal protein of 128 kDa (Cep128)	CEP128 C14orf145 C14orf61	Homo sapiens (Human)	1094
ENSP00000281513	ENSP00000281513 -> A2RRP1-1	A2RRP1	NBAS_HUMAN	reviewed	Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein)	NBAS NAG	Homo sapiens (Human)	2371
ENSP00000281722	ENSP00000281722 -> Q8TBY0-1	Q8TBY0	RBM46_HUMAN	reviewed	Probable RNA-binding protein 46 (Cancer/testis antigen 68) (CT68) (RNA-binding motif protein 46)	RBM46	Homo sapiens (Human)	533
ENSP00000282466	ENSP00000282466 -> Q6WRI0-1	Q6WRI0	IGS10_HUMAN	reviewed	Immunoglobulin superfamily member 10 (IgSF10) (Calvaria mechanical force protein 608) (CMF608)	IGSF10 CMF608	Homo sapiens (Human)	2623
ENSP00000283351	ENSP00000283351 -> Q9Y2L5-1	Q9Y2L5	TPPC8_HUMAN	reviewed	Trafficking protein particle complex subunit 8 (Protein TRS85 homolog)	TRAPPC8 KIAA1012	Homo sapiens (Human)	1435
ENSP00000260184		Q5H9U9	DDX6L_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX60-like (EC 3.6.4.13) (DEAD box protein 60-like)	DDX60L	Homo sapiens (Human)	1706
ENSP00000285199	ENSP00000285199 -> Q70EL4-1	Q70EL4	UBP43_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 43 (EC 3.4.19.12) (Deubiquitinating enzyme 43) (Ubiquitin thioesterase 43) (Ubiquitin-specific-processing protease 43)	USP43	Homo sapiens (Human)	1123
ENSP00000285243		Q6AI12	ANR40_HUMAN	reviewed	Ankyrin repeat domain-containing protein 40	ANKRD40	Homo sapiens (Human)	368
ENSP00000285419		Q8N4L2	PP4P2_HUMAN	reviewed	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)	PIP4P2 TMEM55A	Homo sapiens (Human)	257
ENSP00000285689	ENSP00000285689 -> Q96HH9-1	Q96HH9	GRM2B_HUMAN	reviewed	GRAM domain-containing protein 2B (HCV NS3-transactivated protein 2)	GRAMD2B GRAMD3 NS3TP2	Homo sapiens (Human)	432
ENSP00000286234	ENSP00000286234 -> Q8TB45-1	Q8TB45	DPTOR_HUMAN	reviewed	DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6)	DEPTOR DEPDC6	Homo sapiens (Human)	409
ENSP00000418693		P57060	RWD2B_HUMAN	reviewed	RWD domain-containing protein 2B	RWDD2B C21orf6 GL011	Homo sapiens (Human)	319
ENSP00000348163	ENSP00000348163 -> P13797-1	P13797	PLST_HUMAN	reviewed	Plastin-3 (T-plastin)	PLS3	Homo sapiens (Human)	630
ENSP00000289865	ENSP00000289865 -> Q9UK80-1	Q9UK80	UBP21_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	USP21 USP23 PP1490	Homo sapiens (Human)	565
